Region,Year,Index,N,M,Tag,Std,Error,L,U
Southern,2019,PrevUt,109108,0.0018801561150818078,All,14.30924100156561,1.3114749607329995e-4,0.0016314110789309674,0.0021446640026395866
Southern,2019,PrevAsym,109108,8.866010281982381e-4,All,9.831047726425448,9.010382122690773e-5,7.148880008798622e-4,0.0010631667705392823
Southern,2019,PrevSym,109108,5.8137356264397e-4,All,7.962137193653874,7.297482488592839e-5,4.3993107746453057e-4,7.240532316603732e-4
Southern,2019,PrevExCS,109108,4.121815242395998e-4,All,6.704756893046289,6.1450644251991507e-05,2.932873849763537e-4,5.407486160501522e-4
Southern,2019,PrAsym,206,0.4715571335200859,All,7.164729352136031,0.034780239573475875,0.4029126213592233,0.5388349514563107
Southern,2019,PrSym,206,0.30921557948323547,All,6.633390445838762,0.032200924494362924,0.24757281553398058,0.3737864077669903
Southern,2019,PrExCS,206,0.21922728699667865,All,5.938041497694963,0.02882544416356778,0.1650485436893204,0.2766990291262136
Southern,2019,TBLikeUt,79820,0.05459529290029312,All,64.18630005720169,8.041380613530656e-4,0.05301929341017289,0.056176396893009274
Southern,2019,PrCSIPub,109108,0.5535060555583161,All,164.2091195002408,0.0015050144764842247,0.550555412985299,0.5564578216079481
Southern,2019,PrTxiPub,20,0.6225903945581251,All,2.1678173131612506,0.10839086565806252,0.4,0.85
Southern,2018,TxI,272338,0.9616983307507583,Pub,100.15725279809323,0.19192355608930192,0.9609749649332814,0.9624180246605322
Southern,2018,TxI,83684,0.906553224033268,Pri,84.19766155862143,0.2910575132652573,0.9045815209598012,0.9085249271067348
Southern,2019,TxI,303056,0.9776278971543213,Pub,81.41447747609944,0.14789047251240045,0.9770999419249248,0.9781525526635342
Southern,2019,TxI,95633,0.9469534574885239,Pri,69.31013554913362,0.22412631893433277,0.9455313542396453,0.9483651040958665
Southern,2020,TxI,216038,0.9662327923791185,Pub,83.95634711208952,0.18062940876382713,0.9654690378544515,0.9669919180884844
Southern,2020,TxI,69523,0.9715777512477886,Pri,43.81595184936219,0.16617588431562158,0.9703407505429857,0.9728003682234656
Southern,2021,TxI,236326,0,Pub,0,0,0,0
Southern,2021,TxI,88350,0,Pri,0,0,0,0
Southern,2018,TxSucc,254719,0.8431173175145945,Pub,183.5532923300498,0.363690124173848,0.8417039953831477,0.8445267137512318
Southern,2018,TxSucc,62656,0.689878064351379,Pri,115.78005298155483,0.4625433176235212,0.6862551072522982,0.6935010214504597
Southern,2018,TxDie,254719,0.0483984312124341,Pub,108.3113296936803,0.21460667060604008,0.047566141512804305,0.04923464680687346
Southern,2018,TxDie,62656,0.007644918283963228,Pri,21.80224952022111,0.0871003645709635,0.006974591419816139,0.00833120531154239
Southern,2019,TxSucc,266984,0.8615722290474336,Pub,178.44323030346385,0.3453484083960287,0.8602612890660114,0.8628794234860516
Southern,2019,TxSucc,79605,0.8609132592173858,Pri,97.6321238427952,0.34603702015981486,0.8585013504176874,0.8633126059920859
Southern,2019,TxDie,266984,0.053594971983339824,Pub,116.3705699302465,0.22521667558474628,0.05274098822401342,0.05445270128547029
Southern,2019,TxDie,79605,0.016217574272972803,Pri,35.637944828701784,0.1263113793673136,0.01535079454808115,0.017096916022862885
Southern,2020,TxSucc,293312,0.8473434431595025,Pub,194.78359790010524,0.35965613090019954,0.8460410757145974,0.8486424012655466
Southern,2020,TxSucc,94440,0.8674819991529014,Pri,104.19470821207072,0.3390530641339008,0.8653113087674714,0.8696421008047438
Southern,2020,TxDie,293312,0.055330160375300023,Pub,123.81860452803228,0.22862356337032194,0.05450510037093607,0.056158629718524984
Southern,2020,TxDie,94440,0.026958915713680642,Pri,49.773111220748184,0.16196336801024888,0.02593180855569674,0.027996611605252013
Southern,2021,TxSucc,206527,0.8425726418337554,Pub,165.51303363765916,0.3642032194627631,0.8409989977097425,0.8441414439758482
Southern,2021,TxSucc,69362,0.8830195207750642,Pri,84.64526207395703,0.32139702348534616,0.880626279519045,0.8854127620310833
Southern,2021,TxDie,206527,0.05966774320064689,Pub,107.6462465696711,0.23687022527533627,0.05864608501551855,0.06068940138577523
Southern,2021,TxDie,69362,0.032452928116259626,Pri,46.66849535618542,0.17719970534100926,0.03114097056024913,0.03377930278827023
Southern,2018,DrugTime,273934559.0885104,4.300297136365985e-4,All,0.020733509211670248,1.2527067030171384e-6,4.275744084986849e-4,4.324850187745121e-4
Southern,2019,DrugTime,276688591.7133343,3.3611794192206333e-4,All,0.01833907243433555,1.1025079744569001e-6,3.3395702629212783e-4,3.3827885755199883e-4
Southern,2020,DrugTime,279428808.25420576,2.619629681611336e-4,All,0.01616822805137696,9.672234938185525e-7,2.6006721011324923e-4,2.6385872620901795e-4
Southern,2021,DrugTime,282209005.2488831,2.675322140532537e-4,All,0.01635732697522427,9.737038812811864e-7,2.6562375444594256e-4,2.6944067366056485e-4
