Year,State,Index,M,L,U,Tag,N,Error,Std
2018,Bihar,PrDetPub,0.6065186314685981,0.6035642809492042,0.609472981987992,All,104930,0.001508114527070554,158.24645732551323
2019,Bihar,PrDetPub,0.6354802683600851,0.6327819941143383,0.638170390719893,All,122671,0.001374170443610329,168.57086248812269
2020,Bihar,PrDetPub,0.5351860593187003,0.532117850680513,0.5382542679568877,All,101688,0.0015640733483081233,159.04749064275643
2021,Bihar,PrDetPub,0.46670918657889343,0.46401372785737605,0.46940464530041076,All,131703,0.0013746982891337735,181.05188877378538
2019,Bihar,PrevUt,0.0014874887094838479,0.0010657304955646804,0.0019120458891013384,All,31903,2.1576839571634999e-4,6.883659128538714
2019,Bihar,PrevAsym,8.924932256903088e-4,5.955552769332038e-4,0.0012224555684418393,All,31903,1.6718326913748698e-4,5.333647835293247
2019,Bihar,PrevSym,3.9666365586235944e-4,1.8807008745259067e-4,6.269002915086356e-4,All,31903,1.1148316548033052e-4,3.5566474283189846
2019,Bihar,PrevExCS,1.9833182793117972e-4,6.269002915086355e-5,3.7614017490518134e-4,All,31903,7.883832231228742e-5,2.5151789967289058
2019,Bihar,PrAsym,0.6,0.4583333333333333,0.7291666666666666,All,48,0.07071067811865475,3.394112549695428
2019,Bihar,PrSym,0.26666666666666666,0.14583333333333334,0.3958333333333333,All,48,0.06382847385042255,3.063766744820282
2019,Bihar,PrExCS,0.13333333333333333,0.041666666666666664,0.22916666666666666,All,48,0.04906533814626582,2.3551362310207593
2019,Bihar,TBLikeUt,0.04400359912592656,0.04138994815544796,0.04666009683362612,All,23339,0.0013425519707481039,31.333820445289998
2019,Bihar,PrCSIPub,0.325,0.31987587374228127,0.3301570385230229,All,31903,0.0026222724062319206,83.65835657601697
2019,Bihar,PrTxiPub,0.5714285714285714,0.35294117647058826,0.8235294117647058,All,17,0.12002400720240083,2.040408122440814
2018,Bihar,TxI,0.9037742371389963,0.901480154614877,0.9060526067691147,Pub,63642,0.001168971035366197,74.3956546327755
2018,Bihar,TxI,0.9588742491765162,0.9569366401860104,0.9607876380546406,Pri,41288,9.772953327804922e-4,40.35056969984096
2019,Bihar,TxI,0.9574626387018151,0.9560387402988904,0.9588737091912001,Pub,77955,7.228100846500714e-4,56.34666014889631
2019,Bihar,TxI,1.011338223454692,NA,NA,Pri,44716,NA,NA
2020,Bihar,TxI,0.892065708720738,0.8894564698100033,0.8946749476314726,Pub,54422,0.0013301202207501135,72.38780265366267
2020,Bihar,TxI,0.9888291795370879,0.987877120974908,0.9897600812423306,Pri,47266,4.834246009851723e-4,22.849547190165154
2021,Bihar,TxI,0,0,0,Pub,61467,0,0
2021,Bihar,TxI,0,0,0,Pri,70236,0,0
2018,Bihar,TxSucc,0.7226945075609182,0.7188161090652668,0.7265729060565698,Pub,51052,0.001981299968009279,101.1493259668097
2018,Bihar,TxSucc,0.2785629375247656,0.2744463523092502,0.2826795227402809,Pri,45426,0.002103335942697368,95.54613853297064
2018,Bihar,TxDie,0.021017785787040666,0.019783749902060645,0.022271409543210843,Pub,51052,6.348549370589319e-4,32.41061424673259
2018,Bihar,TxDie,0.017104741777836482,0.01591599524501387,0.018315502135340993,Pri,45426,6.083585733764974e-4,27.63529655420077
2019,Bihar,TxSucc,0.8035134068203212,0.8004767544259208,0.8065500592147217,Pub,65862,0.0015482659678546645,101.97189317484391
2019,Bihar,TxSucc,0.6247675254792074,0.6200312445755946,0.6294790091006026,Pri,40327,0.0024110791906807746,97.2315905225836
2019,Bihar,TxDie,0.0242628526312593,0.023093741459415142,0.025447147065075462,Pub,65862,5.995423868759267e-4,39.48706068442228
2019,Bihar,TxDie,0.024276539291293673,0.02278870235822154,0.02578917350658368,Pri,40327,7.664058382333862e-4,30.906848238437764
2020,Bihar,TxSucc,0.7616284329563813,0.7586171243941842,0.7646268174474959,Pub,77375,0.0015317873162254353,118.52204359294306
2020,Bihar,TxSucc,0.7653772014369579,0.7614781389643389,0.769254359064225,Pri,45652,0.001983320778575903,90.54256018354714
2020,Bihar,TxDie,0.024310177705977383,0.023224555735056544,0.02539579967689822,Pub,77375,5.53668254379819e-4,42.84008118263849
2020,Bihar,TxDie,0.02396390081486025,0.022561990712345572,0.02536581091737492,Pri,45652,7.157836808467273e-4,32.6769565980148
2021,Bihar,TxSucc,0.7396935113271681,0.7359336131102714,0.7434344201591311,Pub,52661,0.001912158333548522,100.69617000299873
2021,Bihar,TxSucc,0.8189929891650733,0.8155088166560442,0.822455916719779,Pri,47070,0.0017746621677717236,83.53334823701503
2021,Bihar,TxDie,0.024876094263306812,0.023546837317939273,0.02620535120867435,Pub,52661,6.78697809913796e-4,35.74090536787041
2021,Bihar,TxDie,0.043148502230720205,0.04132143615891226,0.044996813256851495,Pri,47070,9.365544546731984e-4,44.08361818146745
2019,Bihar,DrugTime,0.0011,9.25e-4,0.0014500000000000001,All,122430000,1.3392857142857146e-4,16396.875000000004
