Year,State,Index,M,L,U,Tag,N,Error,Std,X
2018,Madhya_Pradesh,PrDetPub,0.7541400239784194,0.7520294235188331,0.7562443800579478,All,160144,0.43059592219649323,172.315858713301,NA
2019,Madhya_Pradesh,PrDetPub,0.742293510914747,0.7403138623423885,0.7442731594871056,All,187407,0.4373715292158434,189.34045368895318,NA
2020,Madhya_Pradesh,PrDetPub,0.7835495342442087,0.7813827260031386,0.7857163424852787,All,138914,0.4118247948216478,153.49191312787414,NA
2021,Madhya_Pradesh,PrDetPub,0.6661657028122107,0.6638993423346519,0.6684320632897696,All,166346,0.47158133891082266,192.33697982594947,NA
2019,Madhya_Pradesh,PrevUt,0.0020918400668279943,0.0015362294102585986,0.002688401467952548,All,23434,0.0456887762143265,6.994114507868486,NA
2019,Madhya_Pradesh,PrevAsym,0.0016435886239362812,0.001152172057693949,0.002176324997866348,All,23434,0.040507866401126934,6.201012142454397,NA
2019,Madhya_Pradesh,PrevSym,3.361885821687848e-4,1.280191175215499e-4,5.974225484338994e-4,All,23434,0.01833236371573519,2.80634899097035,NA
2019,Madhya_Pradesh,PrevExCS,1.1206286072292827e-4,-0,2.560382350430998e-4,All,23434,0.010585381553736024,1.620427965700108,NA
2019,Madhya_Pradesh,PrAsym,0.7857142857142857,0.66,0.9,All,50,0.41032590332414487,2.901442287369986,NA
2019,Madhya_Pradesh,PrSym,0.16071428571428573,0.06,0.26,All,50,0.36726721073577023,2.5969713521873192,NA
2019,Madhya_Pradesh,PrExCS,0.05357142857142857,-0,0.12,All,50,0.22517000380211588,1.5921923660827684,NA
2019,Madhya_Pradesh,TBLikeUt,0.022866476112699062,0.02064982791810068,0.025141457154523712,All,17143,0.1494777588234665,19.571314247229846,NA
2019,Madhya_Pradesh,PrCSIPub,0.3763440860215054,0.3701459417939746,0.3825637961935649,All,23434,0.4844679710137122,74.16316971961518,NA
2019,Madhya_Pradesh,PrTxiPub,0.5,0.2,0.8,All,10,0.5,1.5811388300841898,NA
2018,Madhya_Pradesh,TxI,0.9372034677198996,0.9358289655629248,0.9385696897433987,Pub,120771,0.24259663603128281,84.30747949730038,NA
2018,Madhya_Pradesh,TxI,0.8271912224112971,0.8234576994387016,0.8309247453838925,Pri,39373,0.3780818747004425,75.0213907981348,NA
2019,Madhya_Pradesh,TxI,1.0008913745138774,NA,NA,Pub,139111,NA,NA,NA
2019,Madhya_Pradesh,TxI,0.8132971674672851,0.8098186185191321,0.8167757164154381,Pri,48296,0.3896727920409326,85.63586024004493,NA
2020,Madhya_Pradesh,TxI,0.9580967605607923,0.9569024125829153,0.9592819212465318,Pub,108846,0.2003680562457702,66.1050627782606,NA
2020,Madhya_Pradesh,TxI,0.9742916056937608,0.9724956764666756,0.9760542769721964,Pri,30068,0.15826393388398413,27.443166930973483,NA
2021,Madhya_Pradesh,TxI,0,0,0,Pub,110814,0,0,NA
2021,Madhya_Pradesh,TxI,0,0,0,Pri,55532,0,0,NA
2018,Madhya_Pradesh,TxSucc,0.869255488691684,0.8673047279820948,0.8712062494012732,Pub,114827,0.3371207262555443,114.23717718732485,NA
2018,Madhya_Pradesh,TxSucc,0.6335769865597737,0.6263263381278,0.6408276349917472,Pri,16964,0.4818269281200565,62.75599213187178,NA
2018,Madhya_Pradesh,TxDie,0.03416443867731457,0.03311938829717749,0.03521819781061945,Pub,114827,0.1816513963810314,61.554633514211545,NA
2018,Madhya_Pradesh,TxDie,0.0034190049516623438,0.0025937278943645365,0.004303230370195708,Pri,16964,0.05837221391041163,7.602742775656926,NA
2019,Madhya_Pradesh,TxSucc,0.8787508418348258,0.876905041031653,0.8805966426379985,Pub,120273,0.32641660467784234,113.20257738442736,NA
2019,Madhya_Pradesh,TxSucc,0.5671875479691769,0.5618150001535014,0.5725600957848525,Pri,32573,0.49546526961825443,89.42153013267809,NA
2019,Madhya_Pradesh,TxDie,0.03405585626034106,0.03303318284236695,0.03508684409634748,Pub,120273,0.181372696166529,62.90077275167327,NA
2019,Madhya_Pradesh,TxDie,0.006754060111134989,0.005894452460626899,0.007644368034875511,Pri,32573,0.08190508398842018,14.78222266019391,NA
