Year,State,Index,M,L,U,Tag,N,Error,Std,X
2018,Manipur,PrDetPub,0.7348821318756406,0.7188247352237787,0.7509395285275026,All,2927,0.4413959493760157,23.880295943214296,NA
2019,Manipur,PrDetPub,0.7806502154328241,0.7645906776341559,0.7967097532314924,All,2553,0.41380606155240096,20.908470069385316,NA
2020,Manipur,PrDetPub,0.8840852130325815,0.868421052631579,0.899749373433584,All,1596,0.32012270948765337,12.788892227672713,NA
2021,Manipur,PrDetPub,0.6977133296151701,0.6765197992191857,0.7189068600111544,All,1793,0.4592487771268239,19.446352476786547,NA
2019,Manipur,PrevUt,0.0015573518254363352,0.0010532582314420479,0.0021065164628840958,All,21837,0.03943255610188293,5.827085854838635,NA
2019,Manipur,PrevAsym,9.344110952618012e-4,5.49526033795851e-4,0.0013738150844896278,All,21837,0.03055385362220047,4.515049133328514,NA
2019,Manipur,PrevSym,3.11470365087267e-4,9.158767229930851e-5,5.49526033795851e-4,All,21837,0.01764577431848598,2.6075773952684393,NA
2019,Manipur,PrevExCS,3.11470365087267e-4,9.158767229930851e-5,5.49526033795851e-4,All,21837,0.01764577431848598,2.6075773952684393,NA
2019,Manipur,PrAsym,0.6,0.42857142857142855,0.7714285714285715,All,35,0.48989794855663565,2.898275349237888,NA
2019,Manipur,PrSym,0.2,0.08571428571428572,0.34285714285714286,All,35,0.39999999999999997,2.3664319132398464,NA
2019,Manipur,PrExCS,0.2,0.08571428571428572,0.34285714285714286,All,35,0.39999999999999997,2.3664319132398464,NA
2019,Manipur,TBLikeUt,0.026165884194053208,0.023724569640062598,0.0286697965571205,All,15975,0.1596284144455385,20.17579392259164,NA
2019,Manipur,PrCSIPub,0.8562091503267973,0.8515363832028209,0.8608325319412007,All,21837,0.3508775302344981,51.850392044773585,NA
2019,Manipur,PrTxiPub,1,1,1,All,10,0,0,NA
2018,Manipur,TxI,0.9697814969781497,0.9623430962343096,0.9767549976754998,Pub,2151,0.17118804016919137,7.939508631116892,NA
2018,Manipur,TxI,0.7074742268041238,0.6752577319587629,0.7396907216494846,Pri,776,0.4549224606589908,12.672673336140882,NA
2019,Manipur,TxI,1.088309081786252,NA,NA,Pub,1993,NA,NA,NA
2019,Manipur,TxI,0.6482142857142857,0.6089285714285714,0.6875,Pri,560,0.4775275128306264,11.300363458124446,NA
2020,Manipur,TxI,0.9482636428065202,0.9362154500354358,0.959603118355776,Pub,1411,0.22149425847598952,8.320050836676177,NA
2020,Manipur,TxI,0.7891891891891892,0.7297297297297297,0.8486486486486486,Pri,185,0.4078843130792103,5.547826455322694,NA
2021,Manipur,TxI,0,0,0,Pub,1251,0,0,NA
2021,Manipur,TxI,0,0,0,Pri,542,0,0,NA
2018,Manipur,TxSucc,0.6935679611650486,0.6711165048543689,0.7154126213592233,Pub,1648,0.46101132785475696,18.715015906708427,NA
2018,Manipur,TxSucc,0.4363312555654497,0.40694568121104185,0.4657168299198575,Pri,1123,0.495929723834061,16.619196273374044,NA
2018,Manipur,TxDie,0.02487864077669903,0.017597087378640776,0.032766990291262135,Pub,1648,0.1557552375036005,6.322972064476906,NA
2018,Manipur,TxDie,0.01157613535173642,0.005342831700801425,0.017809439002671415,Pri,1123,0.10696788509667142,3.584621352448181,NA
2019,Manipur,TxSucc,0.798372513562387,0.7816455696202531,0.8150994575045208,Pub,2212,0.40121545726761726,18.869926895693702,NA
2019,Manipur,TxSucc,0.7923076923076923,0.76,0.823076923076923,Pri,650,0.4056552884133911,10.342221157059951,NA
2019,Manipur,TxDie,0.02802893309222423,0.021247739602169982,0.0352622061482821,Pub,2212,0.16505548158705863,7.762873575441127,NA
2019,Manipur,TxDie,0.015384615384615385,0.006153846153846154,0.026153846153846153,Pri,650,0.12307692307692308,3.1378581622109447,NA
2020,Manipur,TxSucc,0.6946666666666667,0.6755555555555556,0.7137777777777777,Pub,2250,0.4605484652985926,21.84573184857857,NA
2020,Manipur,TxSucc,0.6380697050938338,0.5898123324396782,0.6863270777479893,Pri,373,0.48055879612728114,9.281131945386164,NA
2020,Manipur,TxDie,0.03111111111111111,0.024,0.03866666666666667,Pub,2250,0.1736179998633299,8.235424835563872,NA
2020,Manipur,TxDie,0.010723860589812333,0.002680965147453083,0.021447721179624665,Pri,373,0.1029993174922174,1.9892472339155711,NA
2021,Manipur,TxSucc,0.8161499639509733,0.7952415284787311,0.8363374188896899,Pub,1387,0.3873618467193153,14.426303781894315,NA
2021,Manipur,TxSucc,0.6384180790960452,0.5649717514124294,0.7062146892655368,Pri,177,0.4804585678072158,6.392085501786322,NA
2021,Manipur,TxDie,0.03460706560922855,0.025234318673395817,0.044700793078586876,Pub,1387,0.18278242973313136,6.807265298984389,NA
2021,Manipur,TxDie,0.03954802259887006,0.011299435028248588,0.06779661016949153,Pri,177,0.1948947831713033,2.5929064467905336,NA
2018,Manipur,DrugTime,6.4e-4,6.316285714285714e-4,6.484e-4,All,35000000,4.27842565597669e-6,0.02531150752681841,22400
2019,Manipur,DrugTime,4.870000000000001e-4,4.797653757225434e-4,4.942627745664741e-4,All,35523613.96303901,3.6983160316149697e-6,0.02204258839458494,17300
2020,Manipur,DrugTime,3.65e-4,3.5877840909090907e-4,3.712492424242424e-4,All,36164383.56164384,3.1813350340136027e-6,0.01913154050053219,13200
2021,Manipur,DrugTime,2.3899999999999995e-4,2.34886976744186e-4,2.4313155038759685e-4,All,53974895.39748955,2.1032075620946036e-6,0.015451763035364132,12900
