State,StateGroup,Region,N_Private,N_PriOnPub,N_Txi_Pri,Pr,Var,Source,al,be,Pr_L,Pr_U
India,India,India,593653,169908,593653,0.2862084125715953,2.3457203688196482e-4,Nation,248.978030338473,620.9406002894472,0.2566656272262455,0.31668228146088806
Andhra Pradesh,Andhra_Pradesh,Southern,23821,6158,23821,0.25852974812524676,6.591198948780951e-4,Region,74.92978610991261,214.90063632028406,0.2098441968202908,0.31037139776800604
Arunachal Pradesh,North_Eastern_States,Northeastern,49,20,49,0.4003960961574743,5.6953027077350976e-5,Region,1687.4241895796717,2526.9630279121143,0.38565035160197736,0.4152313827215808
Assam,North_Eastern_States,Northeastern,5227,2203,5227,0.42140829841870525,3.2953553783289185e-5,Exact,3117.5785917015814,4280.421408298418,0.41017754631520226,0.4326792986312067
Bihar,Bihar,Eastern,45223,40610,45223,0.8979866834594126,1.9970843652070055e-4,Region,411.01003363180035,46.69166863445298,0.8686925117073514,0.9239897490022204
Chandigarh,Punjab,Northern,63,55,63,0.8766233766233766,0.00035115205253508503,Exact,269.1233766233766,37.8766233766234,0.8376539601581304,0.910949939049575
Chhattisgarh,Chhatisgarh,Central,10892,2396,10892,0.22,0.001716,Exact,21.78,77.22,0.14446697037771428,0.30623890065847825
Delhi,Delhi,Northern,17524,6133,17524,0.35,0.0022749999999999997,Exact,34.65,64.35,0.25962170929497275,0.44611980726944234
Gujarat,Gujarat,Western,52707,9804,52707,0.18600745580039124,2.7942398809112454e-6,Exact,10078.8139925442,44106.1860074558,0.18274218759993596,0.18929467828751045
Haryana,Haryana,Northern,18577,2951,18577,0.15886673314572122,1.8151454404886975e-4,Region,116.7962725945775,618.3876786448906,0.13335792414884268,0.1861330337195093
Himachal Pradesh,HP_UK_JK,Northern,952,724,952,0.76,1.3766037735849057e-4,Exact,1006.24,317.76,0.7366379211905819,0.7826181190417298
Jammu & Kashmir,HP_UK_JK,Northern,732,286,732,0.3906810035842294,8.53223501873293e-4,Exact,108.60931899641578,169.39068100358423,0.3342227698121285,0.4486292675435023
Jharkhand,Jharkhand,Eastern,12651,11360,12651,0.8979866834594126,1.9970843652070055e-4,Region,411.01003363180035,46.69166863445298,0.8686925117073514,0.9239897490022204
Karnataka,Karnataka,Southern,15167,2578,15167,0.17,0.001411,Exact,16.830000000000005,82.17000000000002,0.10303613736540877,0.24956932648978314
Kerala,Kerala,Southern,3246,1461,3246,0.45,0.002475,Exact,44.550000000000004,54.449999999999996,0.3536655441864085,0.5482488064248063
Madhya Pradesh,Madhya_Pradesh,Central,39279,10069,39279,0.2563434585525973,4.966172297449334e-6,Exact,9839.743656541448,28545.256343458554,0.2519877572361566,0.26072320882816313
Maharashtra,Maharashtra,Western,70985,13204,70985,0.18600745580039124,2.7942398809112454e-6,Region,10078.8139925442,44106.1860074558,0.18274218759993596,0.18929467828751045
Manipur,North_Eastern_States,Northeastern,363,145,363,0.4003960961574743,5.6953027077350976e-5,Region,1687.4241895796717,2526.9630279121143,0.38565035160197736,0.4152313827215808
Meghalaya,North_Eastern_States,Northeastern,607,411,607,0.6773255813953488,3.1766807875407196e-4,Exact,465.32267441860466,221.67732558139534,0.6419169925944138,0.7117562468722458
Nagaland,North_Eastern_States,Northeastern,707,5,707,0.007288629737609329,1.0547384277197327e-5,Exact,4.99271137026239,680.0072886297376,0.0023716913304430744,0.014889559760710047
Odisha,Odisha,Eastern,3749,2163,3749,0.5769230769230769,5.75938745249378e-5,Exact,2444.4230769230767,1792.5769230769233,0.5620151641720381,0.5917622062851001
Punjab,Punjab,Northern,12865,382,12865,0.029692470837751856,2.0368206442772085e-6,Exact,419.97030752916226,13724.029692470838,0.026958817477924734,0.032552081606383676
Rajasthan,Rajasthan,Northern,50079,4318,50079,0.08622010383862456,1.676444751312481e-6,Exact,4051.9137798961615,42943.08622010384,0.08369912087188107,0.0887744442367554
Tamil Nadu,Tamil_Nadu,Southern,26557,7587,26557,0.2856871172644631,7.761971332151079e-6,Exact,7510.7143128827365,18779.285687117266,0.2802420981800228,0.29116302064411914
Telangana,Telangana,Southern,21769,5628,21769,0.25852974812524676,6.591198948780951e-4,Region,74.92978610991261,214.90063632028406,0.2098441968202908,0.31037139776800604
Uttar Pradesh,Uttar_Pradesh,Northern,138880,22931,138880,0.16511251943964642,8.473557493034846e-7,Exact,26860.83488748056,135821.16511251943,0.16331223979959714,0.16692059808192417
Uttarakhand,HP_UK_JK,Northern,4850,1066,4850,0.21987244041624707,2.8789619060364374e-5,Exact,1309.780127559584,4647.219872440416,0.2094457991217044,0.23047723876074766
West Bengal,West_Bengal,Eastern,15429,15059,15429,0.976,2.3424000000000022e-4,Exact,96.624,2.3760000000000048,0.9381685612382699,0.9962097409370099
