Year,State,Index,M,L,U,Tag,N,Error,Std
2018,Punjab,PrDetPub,0.808349111229573,0.8050403485230051,0.8116578739361409,All,54401,0.0016875298355041512,91.80331058126133
2019,Punjab,PrDetPub,0.7560992371658305,0.7526115043639613,0.7595869699676998,All,58204,0.0017799982004542492,103.60301525923911
2020,Punjab,PrDetPub,0.7679450195146784,0.7641269302562362,0.7717418971661293,All,47144,0.0019442284638061247,91.65870669767594
2021,Punjab,PrDetPub,0.715368353874995,0.7114195684256711,0.719317139324319,All,50142,0.0020151418759303116,101.04324394289769
2019,Punjab,PrevUt,0.0015604554377365507,9.384248899155417e-4,0.0022377824297985997,All,13853,3.353626209504325e-4,4.645778388026341
2019,Punjab,PrevAsym,0.001314067737041306,7.218652999350321e-4,0.0019490363098245867,All,13853,3.077878169925159e-4,4.263784628797323
2019,Punjab,PrevSym,8.212923356508162e-5,-0,2.8874611997401286e-4,All,13853,7.699439894377122e-5,1.0666034085680627
2019,Punjab,PrevExCS,1.6425846713016324e-4,-0,4.3311917996101927e-4,All,13853,1.0888205137060931e-4,1.5083430576370507
2019,Punjab,PrAsym,0.8421052631578947,0.6818181818181818,0.9545454545454546,All,22,0.07774199430273648,1.7103238746602025
2019,Punjab,PrSym,0.05263157894736842,-0,0.18181818181818182,All,22,0.04760705440701531,1.0473551969543369
2019,Punjab,PrExCS,0.10526315789473684,-0,0.22727272727272727,All,22,0.06542963794821696,1.4394520348607731
2019,Punjab,TBLikeUt,0.02545885139135583,0.022399842115650288,0.028616538385632523,All,10134,0.0015646926542136185,15.85659535780081
2019,Punjab,PrCSIPub,0.4358974358974359,0.427633003681513,0.4441637190500253,All,13853,0.004213075839881183,58.363739609874024
2019,Punjab,PrTxiPub,0.8888888888888888,0.6666666666666666,1,All,9,0.10475656017578484,0.9428090415820636
2018,Punjab,TxI,0.9255713473564525,0.9231154064809551,0.9280045480386583,Pub,43975,0.0012516188794617087,55.03994022432864
2018,Punjab,TxI,0.64857088049108,0.6393631306349511,0.6576827162862076,Pri,10426,0.004675614909434483,48.74796104576392
2019,Punjab,TxI,0.9884793673877477,0.9874795491728776,0.9894564624613706,Pub,44008,5.08693457527937e-4,22.386581678889453
2019,Punjab,TxI,0.9062411947027331,0.9014511129895745,0.9110312764158918,Pri,14196,0.0024464984052274606,34.73049136060903
2020,Punjab,TxI,0.9340680587780356,0.9314992818473097,0.9366092144514419,Pub,36204,0.0013042441995116058,47.218856999118174
2020,Punjab,TxI,0.9642595978062157,0.9607861060329068,0.9677330895795246,Pri,10940,0.0017748761020901266,19.417144556865985
2021,Punjab,TxI,0,0,0,Pub,35870,0,0
2021,Punjab,TxI,0,0,0,Pri,14272,0,0
2018,Punjab,TxSucc,0.8653631284916201,0.8618156424581006,0.8688826815642459,Pub,35800,0.0018040130957638846,64.58366882834707
2018,Punjab,TxSucc,0.18444186432244153,0.17465583015425443,0.19422789849062863,Pri,6029,0.004994989411903656,30.11479116436714
2018,Punjab,TxDie,0.04343575418994414,0.041340782122905026,0.04555865921787709,Pub,35800,0.0010773064052178104,38.56756930679761
2018,Punjab,TxDie,0.0018245148449162383,8.29324929507381e-4,0.0029855697462265714,Pri,6029,5.496098512924758e-4,3.3135977934423364
2019,Punjab,TxSucc,0.8529268008844408,0.84957523565693,0.8562783661119516,Pub,42965,0.001708697728619507,73.41419791013712
2019,Punjab,TxSucc,0.7415693904020753,0.7325983571119757,0.7504323389537397,Pri,9252,0.004551243393966657,42.10810388097951
2019,Punjab,TxDie,0.046177120912370535,0.04419876643779821,0.04817875014546724,Pub,42965,0.0010124880020536957,43.50154700823704
2019,Punjab,TxDie,0.04009943795936014,0.036100302637267614,0.04409857328145266,Pri,9252,0.0020396913479571394,18.871224351299453
2020,Punjab,TxSucc,0.8092498439033092,0.8056150209615556,0.8128846668450629,Pub,44844,0.0018553318122079515,83.20049978665338
2020,Punjab,TxSucc,0.7980350982450878,0.791210439478026,0.8048597570121494,Pri,13334,0.0034767120444064792,46.35847840011599
2020,Punjab,TxDie,0.04319418428329319,0.04132102399429132,0.04508964409954509,Pub,44844,9.600025124959932e-4,43.050352670370316
2020,Punjab,TxDie,0.06652167391630419,0.06232188390580471,0.07079646017699115,Pri,13334,0.0021580101275921392,28.774907041313586
2021,Punjab,TxSucc,0.8019292604501608,0.7977911365860478,0.8060394240178946,Pub,35765,0.0021074101961339087,75.37152566472925
2021,Punjab,TxSucc,0.776151407794145,0.7682267387656163,0.7839828454223382,Pri,10726,0.004024681451293362,43.1687332465726
2021,Punjab,TxDie,0.053404166084160494,0.051083461484691735,0.05575283098000839,Pub,35765,0.001188887466404372,42.52056023595237
2021,Punjab,TxDie,0.07057617005407421,0.0657281372366213,0.07542420287152712,Pri,10726,0.0024729597556123503,26.52496633869807
2019,Punjab,DrugTime,8.258333333333334e-4,6.766666666666667e-4,0.0010916666666666668,All,29630000,1.0586734693877554e-4,3136.8494897959195
