Region,Year,Index,N,M,Tag,Std,Error,L,U
Central,2019,PrevUt,37205,0.002291217809083282,All,9.22222555991438,2.4787597258202874e-4,0.0018277113291224297,0.002795323209246069
Central,2019,PrevAsym,37205,0.0018413003677149218,All,8.269186225430902,2.2226007863004708e-4,0.0014245397124042468,0.0022846391614030374
Central,2019,PrevSym,37205,3.2872884999456104e-4,All,3.4966178505665586,9.39824714572385e-5,1.612686466872732e-4,5.375621556242441e-4
Central,2019,PrevExCS,37205,1.2118859137379917e-4,All,2.1232699132071646,5.706947757578725e-5,2.6878107781212204e-5,2.4190297003090982e-4
Central,2019,PrAsym,86,0.8036339279553818,All,3.683931819444708,0.042836416505171025,0.7209302325581395,0.8837209302325582
Central,2019,PrSym,86,0.143473417800504,All,3.250913175082127,0.03780131598932706,0.06976744186046512,0.22093023255813954
Central,2019,PrExCS,86,0.05289265424411432,All,2.0756136051579817,0.024135041920441646,0.011627906976744186,0.10465116279069768
Central,2019,TBLikeUt,27218,0.02199729539303527,All,24.19818408112892,8.890507782029878e-4,0.020280696597839664,0.02377103387464178
Central,2019,PrCSIPub,37205,0.497717659648484,All,96.44198357703117,0.002592178029217341,0.49264883752183847,0.5028087622631366
Central,2019,PrTxiPub,16,0.5823273610113895,All,1.9727025346114415,0.1232939084132151,0.3125,0.8125
Central,2018,TxI,150890,0.9447345748558552,Pub,88.75889600329076,0.22849761033275975,0.9435814169262376,0.9458877327854729
Central,2018,TxI,52285,0.8058716649134551,Pri,90.44112670058666,0.39552815905200867,0.8024672468203118,0.809256957062255
Central,2019,TxI,170857,1.0045359569698638,Pub,0,0,NA,NA
Central,2019,TxI,60268,0.832464989712617,Pri,91.68096313372965,0.37345284925327527,0.8294783301254397,0.8354350567465322
Central,2020,TxI,131084,0.9621082664550975,Pub,69.12880556962104,0.19093441301626224,0.9610707637850538,0.9631381404290379
Central,2020,TxI,37316,0.9777843284382034,Pri,28.470743022887067,0.14738431225491735,0.97628363168614,0.97925822703398
Central,2021,TxI,134458,0,Pub,0,0,0,0
Central,2021,TxI,64304,0,Pri,0,0,0,0
Central,2018,TxSucc,146008,0.8735000821872774,Pub,127.01789841592806,0.33241192608884695,0.8717946961810312,0.8752054681935236
Central,2018,TxSucc,27622,0.5873579031207009,Pri,81.82117928610995,0.49230945223746636,0.5815654188690175,0.5931503873723843
Central,2018,TxDie,146008,0.03656648950742425,Pub,71.72009141460893,0.1876949156278019,0.03560763793764725,0.03753219001698537
Central,2018,TxDie,27622,0.003511693577583086,Pri,9.831549507731447,0.059155402000157585,0.0028238360726956773,0.004235754109043516
Central,2019,TxSucc,150196,0.8818210871128392,Pub,125.10924944324817,0.32281985291485654,0.880183227249727,0.8834522890090282
Central,2019,TxSucc,43177,0.5928387799059684,Pri,102.08871509989204,0.49130536425482996,0.5882066841142275,0.5974708756977094
Central,2019,TxDie,150196,0.03598631122000586,Pub,72.18375155016444,0.18625599755385794,0.035047537883831796,0.03693174252310315
Central,2019,TxDie,43177,0.007272390393033328,Pri,17.65549402924165,0.08496765697019451,0.006484934108437363,0.008083007156587997
Central,2020,TxSucc,174927,0.8318498573690739,Pub,156.42260611770266,0.3739995617164883,0.8300948395616458,0.8335991585061197
Central,2020,TxSucc,51095,0.6872296702221352,Pri,104.79798356752836,0.46362166751405237,0.6831979645757902,0.6912418044818476
Central,2020,TxDie,174927,0.034305738965396994,Pub,76.1257595066785,0.1820133380811281,0.03345395507840413,0.03516323952277236
Central,2020,TxDie,51095,0.021274097269791566,Pri,32.617097606435436,0.14429660444773815,0.02004109991192876,0.022526666014287114
Central,2021,TxSucc,128240,0.8440268247036806,Pub,129.9316148892294,0.36282991040472806,0.8420383655645665,0.8460074859638178
Central,2021,TxSucc,36623,0.6784807361494143,Pri,89.38182515567331,0.46705955382966224,0.6737023182153291,0.6832591540834995
Central,2021,TxDie,128240,0.03890361821584529,Pub,69.2452875560579,0.19336526757812797,0.037850904553961326,0.03996412975670618
Central,2021,TxDie,36623,0.03238402097042842,Pri,33.87613542199098,0.17701778485851435,0.03058187477814488,0.03421347240804959
Central,2018,DrugTime,113052875.06717446,5.599149951948415e-4,All,0.023658203146794787,2.2250560265844443e-6,5.55553885382736e-4,5.64276105006947e-4
Central,2019,DrugTime,115075883.57588357,4.040811902116474e-4,All,0.020079370451832494,1.871793492929295e-6,4.00412474965506e-4,4.077499054577888e-4
Central,2020,DrugTime,116953048.8088051,2.8985990827327414e-4,All,0.01702764264232713,1.574522072598018e-6,2.86773845010982e-4,2.9294597153556627e-4
Central,2021,DrugTime,119220159.15119363,2.675721977484092e-4,All,0.016349988021928347,1.4974164169259534e-6,2.6463726157123437e-4,2.705071339255841e-4
