Year,State,Index,M,L,U,Tag,N,Error,Std
2018,Tamil_Nadu,PrDetPub,0.7188062944994614,0.7160803301657501,0.7215227274893488,All,104917,0.44958181178447926,145.62356711852348
2019,Tamil_Nadu,PrDetPub,0.7457981866570437,0.7432360503405656,0.7483603229735216,All,110845,0.4354115885413583,144.96329019940018
2020,Tamil_Nadu,PrDetPub,0.792848095098899,0.7898832143205133,0.7958129758772846,All,71841,0.40526533678189924,108.62396306184844
2021,Tamil_Nadu,PrDetPub,0.7782379290776716,0.7754005529864892,0.7810632312280406,All,82823,0.4154318895108663,119.55708278211542
2019,Tamil_Nadu,PrevUt,0.00224913167689744,0.0017527645877816374,0.0027725548934000445,All,31379,0.047371648521002695,8.3914700315381765
2019,Tamil_Nadu,PrevAsym,9.137097437395851e-4,6.055004939609293e-4,0.001274737882023009,All,31379,0.030213819325662562,5.352111807913918
2019,Tamil_Nadu,PrevSym,8.434243788365401e-4,5.417635998597788e-4,0.0011791325408712834,All,31379,0.029029519702429188,5.142323567331184
2019,Tamil_Nadu,PrevExCS,4.919975543213151e-4,2.549475764046018e-4,7.648427292138054e-4,All,31379,0.022175560708308076,3.9282051380124514
2019,Tamil_Nadu,PrAsym,0.40625,0.29577464788732394,0.5211267605633803,All,71,0.49113230142192843,4.138354330225965
2019,Tamil_Nadu,PrSym,0.375,0.2676056338028169,0.49295774647887325,All,71,0.48412291827592713,4.07929221802018
2019,Tamil_Nadu,PrExCS,0.21875,0.1267605633802817,0.323943661971831,All,71,0.41339864235384227,3.4833588765012427
2019,Tamil_Nadu,TBLikeUt,0.0723993727130162,0.06904512981355637,0.07575361561247604,All,22956,0.259148034034175,39.26413430283376
2019,Tamil_Nadu,PrCSIPub,0.5165692007797271,0.5110424169030243,0.522100768029574,All,31379,0.49972538617276696,88.52194789481344
2019,Tamil_Nadu,PrTxiPub,0.6666666666666666,0,1,All,3,0.47140452079103173,0.816496580927726
2018,Tamil_Nadu,TxI,0.9410727308890804,0.9393887157727243,0.9427434860438905,Pub,75415,0.2354885264000114,64.66936845270004
2018,Tamil_Nadu,TxI,0.8690936207714731,0.865229475967731,0.8729238695681649,Pri,29502,0.33729793818789344,57.93478716125079
2019,Tamil_Nadu,TxI,0.9996008128901147,0.9994556539410655,0.9997338752600764,Pub,82668,0.019975679200883056,5.74341595440997
2019,Tamil_Nadu,TxI,0.9425062994641019,0.9397735741917167,0.9452035347978848,Pri,28177,0.23278353664850648,39.075058606889456
2020,Tamil_Nadu,TxI,0.9632191576397058,0.9616741866956934,0.9647641285837181,Pub,56959,0.18822330354013397,44.92153309110434
2020,Tamil_Nadu,TxI,0.9657304125789544,0.9627738207230211,0.9686198091654348,Pri,14882,0.18192081463932844,22.192848181683825
2021,Tamil_Nadu,TxI,0,0,0,Pub,64456,0,0
2021,Tamil_Nadu,TxI,0,0,0,Pri,18367,0,0
2018,Tamil_Nadu,TxSucc,0.8205370797584178,0.8178283522123435,0.823245807304492,Pub,77158,0.3837394695622874,106.5925745228757
2018,Tamil_Nadu,TxSucc,0.5511327955171248,0.5443698372059321,0.5578957538283175,Pri,20701,0.4973785653027319,71.56204256409346
2018,Tamil_Nadu,TxDie,0.04765546022447446,0.04615205163430882,0.049158868814640086,Pub,77158,0.21303618785377285,59.17576254476665
2018,Tamil_Nadu,TxDie,0.004202695521955461,0.0033331723105164,0.00512052557847447,Pri,20701,0.06469183002748644,9.307758349333628
2019,Tamil_Nadu,TxSucc,0.8520781091607533,0.8495304913834498,0.8546123886250867,Pub,74972,0.3550225416079783,97.20877651011125
2019,Tamil_Nadu,TxSucc,0.8190133568066134,0.8143442152397719,0.8236824983734548,Pri,26129,0.38500711445241687,62.234348750014846
2019,Tamil_Nadu,TxDie,0.05071226591260737,0.04915168329509684,0.052286186843088084,Pub,74972,0.2194095075392504,60.076550874698746
2019,Tamil_Nadu,TxDie,0.010754334264610203,0.009529641394619006,0.012017298786788626,Pri,26129,0.10314397005707718,16.672673213124657
2020,Tamil_Nadu,TxSucc,0.8350950337216432,0.8325444512568976,0.8376333537706928,Pub,81550,0.3710947565987572,105.97338351439316
2020,Tamil_Nadu,TxSucc,0.814967046984622,0.8104315782014032,0.8195025157678407,Pri,28222,0.38832429657927275,65.23617033022168
2020,Tamil_Nadu,TxDie,0.057093807480073575,0.055511955855303496,0.058687921520539546,Pub,81550,0.23202177619245543,66.25836726310706
2020,Tamil_Nadu,TxDie,0.025122245057047694,0.023315144213733967,0.026964779250230317,Pri,28222,0.15649638289858758,26.29046078437107
2021,Tamil_Nadu,TxSucc,0.8248707926569475,0.8216660800622418,0.8280755052516533,Pub,53983,0.3800775816572804,88.3081450024786
2021,Tamil_Nadu,TxSucc,0.8259358288770053,0.8198529411764706,0.8320187165775401,Pri,14960,0.37916465480614026,46.37603797647792
2021,Tamil_Nadu,TxDie,0.06366819183817128,0.061611988959487246,0.06574291906711371,Pub,53983,0.24416091658213665,56.72893815904018
2021,Tamil_Nadu,TxDie,0.04097593582887701,0.03783422459893048,0.04418449197860962,Pri,14960,0.19823447861516108,24.246272937028866
2019,Tamil_Nadu,DrugTime,6.583333333333334e-4,4.966666666666667e-4,8.916666666666668e-4,All,80370000,1.0076530612244899e-4,0.9033540849499216
