Year,State,Index,M,L,U,Tag,N,Error,Std,X
2018,Kerala,PrDetPub,0.8547461009080913,0.8503074479781733,0.8591440322514965,All,24557,0.35235664303444925,55.21665819242561,NA
2019,Kerala,PrDetPub,0.8092672834445875,0.8044267478627474,0.8140687824491548,All,25617,0.3928787947838432,62.88147538751183,NA
2020,Kerala,PrDetPub,0.8567188472401742,0.8519316386614965,0.8614581837330653,All,20889,0.3503593355736953,50.637530644669496,NA
2021,Kerala,PrDetPub,0.7024506217995611,0.6963697878566203,0.7084857351865399,All,21872,0.45718021144070864,67.6132283408472,NA
2019,Kerala,PrevUt,8.720289142575709e-4,4.403900597672224e-4,0.001384083044982699,All,15895,0.02951725732228978,3.7213992646452403,NA
2019,Kerala,PrevAsym,6.540216856931781e-4,3.1456432840515884e-4,0.0010695187165775401,All,15895,0.02556548339710832,3.223177887955568,NA
2019,Kerala,PrevSym,7.26690761881309e-5,-0,2.5165146272412706e-4,All,15895,0.008524306153200791,1.0747050887474352,NA
2019,Kerala,PrevExCS,1.453381523762618e-4,-0,3.774771940861906e-4,All,15895,0.012054751312147656,1.5198072835388863,NA
2019,Kerala,PrAsym,0.75,0.5,0.9285714285714286,All,14,0.43301270189221935,1.620185174601965,NA
2019,Kerala,PrSym,0.08333333333333333,-0,0.21428571428571427,All,14,0.2763853991962833,1.034139470499238,NA
2019,Kerala,PrExCS,0.16666666666666666,-0,0.35714285714285715,All,14,0.37267799624996495,1.3944333775567925,NA
2019,Kerala,TBLikeUt,0.07507739938080496,0.07034743722050224,0.07989336085311317,All,11628,0.26351619206989935,28.415795437406945,NA
2019,Kerala,PrCSIPub,0.6176470588235294,0.6100660585089651,0.6251651462724127,All,15895,0.4859621071134796,61.26785454053373,NA
2019,Kerala,PrTxiPub,1,1,1,All,3,0,0,NA
2018,Kerala,TxI,0.989566460219152,0.9881848499285374,0.9909004287756075,Pub,20990,0.1016104375961914,14.721245014875432,NA
2018,Kerala,TxI,0.9301934398654331,0.9217830109335576,0.9383235211662462,Pri,3567,0.25482072972336056,15.219006752298025,NA
2019,Kerala,TxI,1.0478992812695962,NA,NA,Pub,20731,NA,NA,NA
2019,Kerala,TxI,0.6643471142038477,0.6510437986082686,0.6776504297994269,Pri,4886,0.47221819750287836,33.0080182273082,NA
2020,Kerala,TxI,0.9685963343763969,0.9660259275815825,0.9711108627626285,Pub,17896,0.17440606471394282,23.331333864988,NA
2020,Kerala,TxI,0.9381891079184764,0.9295021717340461,0.9465419311727364,Pri,2993,0.24081176404322488,13.174406436910855,NA
2021,Kerala,TxI,0,0,0,Pub,15364,0,0,NA
2021,Kerala,TxI,0,0,0,Pri,6508,0,0,NA
2018,Kerala,TxSucc,0.879100778852962,0.8741444418220439,0.8839981118716073,Pub,16948,0.32601012173409216,42.441459634062056,NA
2018,Kerala,TxSucc,0.7032457496136012,0.6921174652241113,0.7143740340030912,Pri,6470,0.45682728165468117,36.745500939000884,NA
2018,Kerala,TxDie,0.040240736370073166,0.03729053575643144,0.04324994099598773,Pub,16948,0.196523330692484,25.584288495004312,NA
2018,Kerala,TxDie,0.012364760432766615,0.00973724884080371,0.015146831530139104,Pri,6470,0.11050734424556091,8.888803022082257,NA
2019,Kerala,TxSucc,0.8890249070106879,0.8847874193700268,0.8932153114553416,Pub,21239,0.31410129214208204,45.775885636699485,NA
2019,Kerala,TxSucc,0.8382838283828383,0.8256825682568257,0.8505850585058505,Pri,3333,0.36819023813057616,21.256410409529398,NA
2019,Kerala,TxDie,0.049766938179763645,0.04684778002730825,0.05273317952822638,Pub,21239,0.21746307742689383,31.69221270823465,NA
2019,Kerala,TxDie,0.0318031803180318,0.026102610261026102,0.037803780378037805,Pri,3333,0.17547574772512173,10.130590451019557,NA
2020,Kerala,TxSucc,0.8319462227912933,0.8269617706237424,0.8368849460398756,Pub,21868,0.37391403447128463,55.29378236979273,NA
2020,Kerala,TxSucc,0.8105325095616358,0.7972933215651662,0.823477493380406,Pri,3399,0.3918795229472351,22.846945882495834,NA
2020,Kerala,TxDie,0.0723888787269069,0.06895920980428023,0.07586427656850192,Pub,21868,0.25913071790810144,38.319817392248964,NA
2020,Kerala,TxDie,0.07208002353633422,0.06354810238305383,0.08090614886731391,Pri,3399,0.2586203660644995,15.077811321063749,NA
2021,Kerala,TxSucc,0.8170773056057866,0.8113698010849909,0.8227283001808319,Pub,17696,0.38660313277284064,51.42838941913242,NA
2021,Kerala,TxSucc,0.7847198641765705,0.7697792869269949,0.799320882852292,Pri,2945,0.4110165433936635,22.304985852673067,NA
2021,Kerala,TxDie,0.07792721518987342,0.07402802893309222,0.08188291139240507,Pub,17696,0.2680570169248039,35.65863668528516,NA
2021,Kerala,TxDie,0.09813242784380305,0.08760611205432937,0.10899830220713073,Pri,2945,0.2974936208547737,16.14434044342292,NA
2018,Kerala,DrugTime,2.1600000000000005e-4,2.1113280000000003e-4,2.2089600000000005e-4,All,34722222.22222222,2.490612244897965e-6,0.014676073397280007,7500
2019,Kerala,DrugTime,1.3599999999999997e-4,1.3212255319148934e-4,1.3990638297872339e-4,All,34558823.52941177,1.9856708640903175e-6,0.011673114304301997,4700
2020,Kerala,DrugTime,7.8e-5,7.508222222222222e-5,8.094666666666666e-5,All,34615384.615384616,1.4960317460317467e-6,0.008801878922273264,2700
2021,Kerala,DrugTime,4.7000000000000004e-5,4.470875e-5,4.9320625e-5,All,34042553.19148936,1.176498724489796e-6,0.006864399057799516,1600
