name,Scenario,State,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
prv0,s0,Andhra_Pradesh,0.0015956404724010791,6.0935480130095806e-06,2.427852999050734e-4,0.0011572776153780323,0.0014255160795735224,0.001584947772500733,0.0017514412678681813,0.0021170954153957606,1587.4655176175265,1.0011152867344155
pr_a,s0,Andhra_Pradesh,0.57200496092906306,0.001017939598732715,0.07011394122219178,0.42864889286776603,0.5257272689854741,0.5725654754211923,0.6201305876100001,0.7041595048166458,4744.219149749475,0.999287295665935
pr_s,s0,Andhra_Pradesh,0.2436345031969564,8.42396169727185e-4,0.05957147892385424,0.13629645743224814,0.2023075930340627,0.24058586672763077,0.28205220910841144,0.3671143968665169,5000.851945671337,0.9995765435849999
pr_c,s0,Andhra_Pradesh,0.18436053587398055,8.267359948268572e-4,0.05389474243783697,0.09123670293117687,0.14579879903550266,0.18058221301434696,0.21796875499660567,0.30351906466981554,4249.708176107423,1.0001584746627
prv_a,s0,Andhra_Pradesh,9.127597173727777e-4,3.7647587656968605e-6,1.7899026928232836e-4,5.891476637745299e-4,7.861289025698672e-4,9.042027216530509e-4,0.001029470936119698,0.001296550821736548,2260.396033412899,1.0003029742393876
prv_s,s0,Andhra_Pradesh,3.8862232312745923e-4,1.939403537300045e-6,1.1257771467449866e-4,2.027003917167234e-4,3.073855404095157e-4,3.763880163158337e-4,4.5778373007029677e-4,6.382726032752288e-4,3369.52350076899,0.9993122779811329
prv_c,s0,Andhra_Pradesh,2.942584319008423e-4,1.85235031143426e-6,9.850434813443316e-5,1.354728003879345e-4,2.2448001476722316e-4,2.8294085006527216e-4,3.522465597020591e-4,5.218841657803748e-4,2827.9033169323898,1.0013406520619959
prv_t_pub,s0,Andhra_Pradesh,5.897073684004421e-4,1.911914057031213e-8,1.182122440737051e-6,5.873863229197995e-4,5.88919234214165e-4,5.897073194563397e-4,5.904968908416905e-4,5.920111357537475e-4,3822.858216393785,0.9998177775732551
prv_t_eu,s0,Andhra_Pradesh,2.3715924431959125e-4,2.25478141797614e-6,1.461002803132107e-4,2.1242676903016923e-5,1.2150110540548595e-4,2.1932321982144414e-4,3.3453800409142045e-4,5.686012483441234e-4,4198.490784196028,1.0011886732908772
prv_t_ei,s0,Andhra_Pradesh,9.462610071929676e-4,2.2477949499704507e-5,0.0011088517708250786,1.7220452132060435e-4,3.572235550942856e-4,5.346698494384494e-4,0.0010061686205287967,0.004480772192665115,2433.512640260709,0.9998511286150192
prv_t_pri,s0,Andhra_Pradesh,0.002055117067743604,1.1362328671085951e-4,0.0049038137211995765,2.1942824843936396e-5,2.3376358483534956e-4,6.90603674621521e-4,0.0018996317509677005,0.013543204188819737,1862.6584785325645,1.0003517794729393
tbps_pub,s0,Andhra_Pradesh,5.897073684004421e-4,1.911914057031213e-8,1.182122440737051e-6,5.873863229197995e-4,5.88919234214165e-4,5.897073194563397e-4,5.904968908416905e-4,5.920111357537475e-4,3822.858216393785,0.9998177775732551
tbps_pri,s0,Andhra_Pradesh,0.003238537319256163,1.2219952341135286e-4,0.005438043140837252,5.867951859751864e-4,9.559547410777437e-4,0.0016240202897117974,0.003256424484172511,0.01709575058270036,1980.3697000158504,1.0003717623304345
prv[1],s0,Andhra_Pradesh,0.001825957640712232,6.955797455157312e-6,2.773550497558119e-4,0.0013238902974800802,0.0016317027030486168,0.0018141831821822246,0.002005391474668459,0.0024208420702396677,1589.9310839776854,1.001090797852563
prv[2],s0,Andhra_Pradesh,0.0017069167994255825,6.510286208943911e-6,2.5948124025007324e-4,0.0012370610148556842,0.0015246231960818753,0.0016957873701705485,0.0018742997019046935,0.0022643821885977486,1588.589789225071,1.001103177660919
prv[3],s0,Andhra_Pradesh,0.0015956404724010791,6.0935480130095806e-06,2.427852999050734e-4,0.0011572776153780323,0.0014255160795735224,0.001584947772500733,0.0017514412678681813,0.0021170954153957606,1587.4655176175265,1.0011152867344155
prv[4],s0,Andhra_Pradesh,0.0014916219661686748,5.703708003167783e-6,2.2718784985580908e-4,0.0010814513913017596,0.0013325219683818115,0.0014818169297632481,0.0016376511351315342,0.0019788957243019765,1586.5568356255649,1.0011271199880585
nr_acf[1],s0,Andhra_Pradesh,3.199033426719522e-5,5.384053093762472e-9,3.9463360061262194e-7,3.1246530521621966e-5,3.171955552331936e-5,3.1993337654082385e-05,3.226034357613442e-5,3.276140419334366e-5,5372.413751491234,0.9998480001010492
nr_acf[2],s0,Andhra_Pradesh,3.1671898791223524e-5,5.328509477018465e-9,3.859955257829057e-7,3.093609139062945e-5,3.1409930902009676e-5,3.167302188457344e-5,3.1934526922045773e-5,3.243680636951399e-5,5247.507357883779,0.9998290130819656
nr_acf[3],s0,Andhra_Pradesh,3.137423429434521e-5,5.436110760955471e-9,3.8190803151192433e-7,3.064816983081467e-5,3.111534906894928e-5,3.137256722883074e-5,3.163094177244784e-5,3.21374743924349e-5,4935.611750402097,0.9998323930384542
nr_acf[4],s0,Andhra_Pradesh,3.1095985258989906e-5,5.668816437517016e-9,3.816750370981536e-7,3.036558623370771e-5,3.083983131778867e-5,3.1093675619117586e-5,3.1350537592424546e-5,3.1857589773814736e-5,4533.1774985235415,0.9998555662804036
nr_pub[1],s0,Andhra_Pradesh,0.0012902436578432397,6.225770386471916e-8,3.884695430821425e-6,0.0012826136567193056,0.0012876831265973524,0.0012902169905003793,0.0012928227865364559,0.0012977236481786691,3893.388581184808,0.9996523288403617
nr_pub[2],s0,Andhra_Pradesh,0.0012061042395561633,4.1504636848665355e-8,2.582021206292857e-6,0.0012009747846945227,0.0012043975680765347,0.0012060998404574451,0.0012078627446810196,0.0012111610898269615,3870.137303837604,0.999837478015061
nr_pub[3],s0,Andhra_Pradesh,0.0011274544100672796,3.976813860232724e-8,2.487277529876062e-6,0.0011225595790056836,0.0011257603862530883,0.0011274731103451561,0.001129152498642953,0.0011322681884324813,3911.811916899903,0.9998376234297628
nr_pub[4],s0,Andhra_Pradesh,0.0010539358317913235,5.2779683701902264e-8,3.3188990513408547e-6,0.0010474838722212476,0.0010517032825889303,0.0010539564829694938,0.001056149421275867,0.0010604299603571257,3954.162557937925,0.9996701399186355
nr_eng[1],s0,Andhra_Pradesh,4.754305713922621e-4,2.906185680081675e-8,1.8734268080464625e-6,4.7169035529047925e-4,4.741630118335542e-4,4.7542717122937275e-4,4.766751495673191e-4,4.791199973551821e-4,4155.533082017955,1.0004794030227722
nr_eng[2],s0,Andhra_Pradesh,4.444268409880359e-4,2.3250084800880895e-8,1.4968112414831878e-6,4.4149026782701084e-4,4.434041173205656e-4,4.444380416163124e-4,4.454560469418859e-4,4.4737424388218534e-4,4144.622591014112,1.000678352820479
nr_eng[3],s0,Andhra_Pradesh,4.1544591230257367e-4,2.284667298987643e-8,1.434538314446848e-6,4.1260314717729216e-4,4.144877432598982e-4,4.154499354158358e-4,4.164457938532265e-4,4.1817600223046156e-4,3942.56056018154,1.0004610465021093
nr_eng[4],s0,Andhra_Pradesh,3.883557455251454e-4,2.5919118044189702e-8,1.6137864867693465e-6,3.852119619521861e-4,3.8727153669713054e-4,3.8835117207478725e-4,3.894629524457833e-4,3.9142980708300665e-4,3876.6064127057243,1.000050620675881
prv0,s0,Arunachal_Pradesh,0.0022967222603316683,6.351281308737871e-6,3.6457751016087816e-4,0.0016411112976313332,0.0020353953861737446,0.002278168093599963,0.002529610560272563,0.003079639522221118,3295.012388066864,0.99935727494163
pr_a,s0,Arunachal_Pradesh,0.5911726695411655,0.0010432829630963065,0.07652111090952775,0.44273880593436477,0.5381755833495657,0.5913290540301788,0.6443624566378976,0.73640263624745,5379.703024130366,0.9999420085285815
pr_s,s0,Arunachal_Pradesh,0.20475601320381476,8.391316125810124e-4,0.0627054687714442,0.09735998722080019,0.15931328292423194,0.20050658181417255,0.24452512105289745,0.3425559424138622,5584.067670390072,0.9994620179423642
pr_c,s0,Arunachal_Pradesh,0.20407131725501967,9.275457769064839e-4,0.0635256251865214,0.0940719028949524,0.15796002908016807,0.1997535397967723,0.2450970694357206,0.3379208755960874,4690.586948795961,1.0004758470714032
prv_a,s0,Arunachal_Pradesh,0.001357530348096997,4.4158553782427224e-6,2.7776535414993244e-4,8.660456141636638e-4,0.0011595776420725483,0.001340027819582846,0.0015382187227354087,0.0019467998929911894,3956.6393582072456,0.9993281765933357
prv_s,s0,Arunachal_Pradesh,4.701922391904925e-4,2.3059959768396217e-6,1.636902703330874e-4,2.0789904486108007e-4,3.498235575133951e-4,4.51990856407296e-4,5.696055847049477e-4,8.420675401695902e-4,5038.81764302224,0.9994537941296393
prv_c,s0,Arunachal_Pradesh,4.6899967304417877e-4,2.6198939665722394e-6,1.6772094911658128e-4,2.0114377762952475e-4,3.4963939653009414e-4,4.466166291044534e-4,5.687322653557083e-4,8.651327202973573e-4,4098.332530473108,1.0002995721725594
prv_t_pub,s0,Arunachal_Pradesh,9.034532004858867e-4,1.3556534530039345e-7,8.552913946021366e-6,8.864636941261196e-4,8.978015435990815e-4,9.035629190304627e-4,9.092111597080118e-4,9.202022797556905e-4,3980.4377438012402,0.9999133262484212
prv_t_eu,s0,Arunachal_Pradesh,4.6177745412234455e-6,4.110918201347759e-8,2.9851744873192955e-6,4.2191639159942165e-7,2.2036493064881564e-6,4.1343267378657315e-6,6.5172512151923426e-6,1.1407534761672563e-5,5273.048573642211,0.9999638687011961
prv_t_ei,s0,Arunachal_Pradesh,1.825660705841994e-5,4.4380854048106257e-7,2.210814354238222e-5,3.1145840967743924e-6,6.640720856541487e-6,1.0324270364532711e-5,1.976295864593494e-5,8.746171166706078e-5,2481.4940637574214,1.0001521803745383
prv_t_pri,s0,Arunachal_Pradesh,8.555588341633489e-4,4.759212647973929e-5,0.0024589962379839743,2.1945621162288784e-6,3.612721139018789e-5,1.6414185550880564e-4,6.706062517948675e-4,0.006359721654632159,2669.595788087934,1.000329281576722
