"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"ppm",0.335088991714468,0.00309232652244461,0.1021846257701,0.152292934605046,0.259212711732262,0.331383926168631,0.409046984570983,0.535845200370905,1091.94415224674,1.00447307949335
"p_txi_pri",0.655133579441641,0.00151956069232093,0.0856183539757973,0.508985051353905,0.582330694425327,0.657798911960558,0.73071407568253,0.792073867986067,3174.66312009158,1.00162699069674
"ppv_eng",0.704017992741683,0.00270093461475556,0.118727900517909,0.40723922862075,0.641976044763143,0.732519959123018,0.797955918320116,0.844712420415205,1932.31281836968,1.00084687772817
"ppv_pri",0.488342340605614,0.00398573466373318,0.153086318918857,0.220904279205179,0.365147892086439,0.48703131989543,0.607846250318797,0.765809724811667,1475.2172874407,1.00267420673201
"dur_pri",1.20953621683859,0.0118047277244278,0.369141620153437,0.542696839697791,0.938721777841468,1.19974095027539,1.47359377086782,1.92819971307396,977.854140227993,1.00329526671072
"p_pri_on_pub",0.303683902563586,0.00374960230332124,0.187735354920271,0.029332173668613,0.149730151762157,0.281161155510893,0.430741448274592,0.718240695648226,2506.81174903878,1.00167568972803
"det_pub",0.00124785262336482,0,0,0.00124785262336482,0.00124785262336482,0.00124785262336482,0.00124785262336482,0.00124785262336482,2.00300450676012,0.998999499499374
"det_eng",0.000490845987496096,0,0,0.000490845987496096,0.000490845987496096,0.000490845987496096,0.000490845987496096,0.000490845987496096,2.00300450676012,0.998999499499374
"det_pri",0.00114234770568976,1.89302541552305e-05,0.000605947685434038,0.000425176149840219,0.000709128602817966,0.000990354717624262,0.00140275710446197,0.00273219253255884,1024.60712660369,1.00328690308292
"txi_pub",0.00103175617622592,0,0,0.00103175617622592,0.00103175617622592,0.00103175617622592,0.00103175617622592,0.00103175617622592,2.00300450676012,0.998999499499374
"txi_eng",0.000302175368543046,1.15928274708726e-06,5.09598440170903e-05,0.000174793350826778,0.000275546008656185,0.000314408851613473,0.00034249497340327,0.000362563584430305,1932.31281836967,1.00084687772817
"txi_pri",0.000319191703472358,2.09201382199692e-06,9.72355991253791e-05,0.000151127819160382,0.000251822487997657,0.000309910399118094,0.000379921864745775,0.000534970857756399,2160.33692997493,1.00037479771234
"tx_pri",0.0010373217912081,1.21288874054481e-05,0.000389918289747218,0.000585513874200219,0.000762087286760252,0.000935758888355143,0.00119855315118065,0.00206940357608434,1033.4876351675,1.00245498965845
"drug_time",0.0011247989184817,9.59845973038415e-07,6.22188631347072e-05,0.00100298660195914,0.00108314100619177,0.00112328435223253,0.00116658054909607,0.00124719823294973,4201.85487418922,0.999573728596444
"p_pub",0.625798812729071,0.000551099616013902,0.0321917714739176,0.561188771071307,0.605076628444756,0.625835901637152,0.647762616768668,0.687789029064789,3412.16116045114,0.99972991175649
"p_under",0.374213237701708,0.00337150538172363,0.109781471357485,0.196488312527552,0.289697164348986,0.362893089909031,0.446530915999788,0.61110692072337,1060.25512357702,1.00411396898071
"lp__",-10.0058408953327,0.0620760335847877,2.07293991763288,-15.0504487319504,-11.0977081341107,-9.60084445547862,-8.49892994676784,-7.15605641007667,1115.13002759537,1.00375372071165
