State,p_txd_pub_m,p_txd_pub_l,p_txd_pub_u,p_txs_pub_m,p_txs_pub_l,p_txs_pub_u,p_txl_pub_m,p_txl_pub_l,p_txl_pub_u,p_txd_eng_m,p_txd_eng_l,p_txd_eng_u,p_txs_eng_m,p_txs_eng_l,p_txs_eng_u,p_txl_eng_m,p_txl_eng_l,p_txl_eng_u
Andhra_Pradesh,0.04684084058551261,0.045974626465194866,0.04771683026406559,0.8930904924230761,0.8918458108054356,0.8943233076039518,0.0600686669914113,0.059111863346006016,0.06099474085535044,0.012873706576377451,0.012129891123271844,0.013670817200161188,0.9469008433311638,0.9454141113526039,0.9483932678478377,0.040225450092458814,0.03885661657903827,0.04151985198743844
Arunachal_Pradesh,0.022841607620192675,0.020127534342272574,0.025706734847987134,0.7954593099492501,0.7879971136106565,0.802895807430344,0.18169908243055724,0.17467910026083278,0.18885839116560824,1.9972778448109133e-5,0,7.797047175905281e-9,0.32795489485741464,0.2329470114592285,0.43432659444106814,0.6720251323641373,0.5650417464725787,0.7669728725350008
Assam,0.03951337053140336,0.038528903755742326,0.04050044241874277,0.8259825081536423,0.8239993320251735,0.8278695973249034,0.13450412131495434,0.13277883126753395,0.13632103530408396,0.023475465271795455,0.021274925916784475,0.025799890307098474,0.5937484284875255,0.586391685063475,0.600974807299002,0.382776106240679,0.375745251021451,0.3900879156869785
Bihar,0.023734879496953007,0.02314923898881025,0.024334428255419187,0.760077326353438,0.7583765504473803,0.7617565890150495,0.21618779414960895,0.21457666201794653,0.21779896638230933,0.02735378027148551,0.026625586591962215,0.028088205072320745,0.6238213415458698,0.6216204711968654,0.6260359251118001,0.34882487818264474,0.3466352734222216,0.3509857325560847
Chandigarh,0.034834830467124295,0.03184762076229332,0.038024733881566734,0.8529783243873543,0.8467274334658098,0.8592391343796264,0.11218684514552137,0.10668112677683361,0.11770327794254427,0.03072959341155135,0.018020002527501782,0.04625660808193918,0.43685310943349526,0.393237695633936,0.47686337998516254,0.5324172971549533,0.49251735167695304,0.5765186550635594
Chhattisgarh,0.04587384592103926,0.044664081254128955,0.047051616377155256,0.8771584309377145,0.8752958155297506,0.8790426310837364,0.0769677231412462,0.0754622386517434,0.07842393605147031,0.014226619024518133,0.013128281164950063,0.015410890132978498,0.6974433238413693,0.69281961065186,0.7019054822559705,0.2883300571341125,0.2840141800015947,0.29293721717241356
Delhi,0.019657313366414766,0.01910839113137533,0.020203780935317914,0.7511963966645488,0.7495091693364774,0.7528907978186267,0.2291462899690364,0.2275049885025582,0.23080178090233705,0.028632086082436687,0.027347422423384227,0.029993390649914176,0.48888515392858295,0.48508795492632306,0.4927023613107757,0.4824827599889803,0.4786649858741465,0.4863068461194646
Gujarat,0.05598160331329239,0.055228102852601234,0.05671345313223056,0.8476888483364321,0.8465574759379015,0.8488164647588202,0.0963295483502755,0.0953689105132444,0.09727885726282641,0.02253805664496002,0.02185371687090777,0.02323212166012374,0.7769964465284361,0.77506875679222,0.778924701724334,0.20046549682660383,0.1986350211628897,0.20232464675851314
Haryana,0.042082885951592125,0.04117644571771301,0.042981168935140306,0.8271016403703908,0.8253827202617289,0.8289062233532644,0.13081547367801707,0.12923400916725802,0.13236889640941957,0.02868693419357197,0.027331552820931134,0.030063056613934987,0.702690915652828,0.6991554616563226,0.7064886692970366,0.26862215015359997,0.26504112196980345,0.27210762847963915
Himachal_Pradesh,0.0459495219898055,0.04427343696524365,0.04767378296748335,0.8908615086748822,0.8882571212251069,0.8933857390708257,0.06318896933531232,0.061256967986298726,0.06519635438006814,0.0345076949721017,0.028389469174981162,0.04088920083668403,0.7686843917535617,0.7552710859834915,0.7824090295547113,0.19680791327433655,0.1838512013319068,0.20961207142262223
India,0.041554344052507776,0.041393554225700374,0.04171469348700656,0.8244434931308768,0.8241368447045835,0.8247600254593083,0.1340021628166154,0.1337213874895604,0.1342762957527435,0.025212897546006887,0.025002262343368113,0.025437396481636308,0.6905285693151471,0.6898716873428196,0.6911658910198416,0.2842585331388461,0.28362259934256207,0.28487554090777795
Jammu_and_Kashmir,0.027687094426510964,0.026065409860987963,0.029354889420698208,0.8082685744041003,0.8043487119116876,0.8122799549312448,0.16404433116938877,0.16025693843461258,0.16776540245191923,0.008129190126524613,0.005500524848113195,0.011697313345291786,0.5407941377571606,0.523708151969273,0.556859820268675,0.4510766721163148,0.4348027398142041,0.46798840645516243
Jharkhand,0.02566715333836631,0.024823440782790945,0.026521452558769476,0.8337055555581483,0.8317945086909893,0.8356035928901179,0.14062729110348543,0.13885197331172175,0.14242731230028158,0.02198686387201352,0.02064702016971132,0.02330206445975361,0.6130507691596699,0.6086323747942044,0.6175936850098421,0.3649623669683165,0.3605100607624556,0.36938634640908746
