NoDS,DS,NoDS_1PPM
1.0128082701764247,1.010841770682676,1.0076666836836485
1.0038587658840243,1.0026158147362954,1.0023410237117942
1.0020321299809323,1.00197063647408,1.0019266535138223
1.0082696869395955,1.0011519186865654,1.0028951513662732
1.0052393550780963,1.001111578041365,1.0023603781321577
1.004871913438218,1.0028196581928654,1.0028869202673445
1.0054858840493668,1.006140777582354,1.0015443927161938
1.032001666104597,1.0037179968107133,1.0031982018981964
1.0151744950235313,1.0023228828157555,1.0022115349661085
1.0086010464027877,1.0026974108704678,1.0022048673492057
1.0197497947775964,1.0053056936160607,1.002030704348139
1.0100377048233165,1.0043053979913326,1.0029907148620927
1.0053505255613526,1.0020836562342912,1.0058391230184178
1.0069027556998245,1.0031678357389993,1.0009848924576814
1.0162206972281398,1.0023236266317301,1.002665091496621
1.0099617809017813,1.0033640770390568,1.0056613387265738
1.0136029980248638,1.0019073454383227,1.0040568796609932
1.0012749855680996,1.0031272210681588,1.0006533359361398
1.0038533972575463,1.0039603881083878,1.0019687277150044
1.0046875462607496,1.0051419894138425,1.0019200643981596
1.005207935642762,1.007214240309026,1.0041508941664647
1.0198493561086794,1.00566426304937,1.0018712426915948
1.0118785232787841,1.0040942846781415,1.0024194875002777
1.0090114351329191,1.0021288462604963,1.0032238721957116
1.0118589389516854,1.0065146682515256,1.002737658456382
1.0042707973686342,1.0015390977997516,1.001266351169379
1.007570281958253,1.0080723396974987,1.0017927828304078
1.0033243517141894,1.0019293465798476,1.0030472873865486
