<<<<<<< HEAD
NoDS,WithDS
1.03715935833806,1.0403211736060034
1.0028519332267354,1.0250351712129724
1.002021689538174,1.0111862419924458
1.0039437906194535,1.0109776977567093
1.0227560987339026,1.0378627274342749
1.0034030164766972,1.0239457893463988
1.0020788756007832,1.0282235866509533
1.0068090926278737,1.014104369065337
1.0082985729987937,1.0172760422080673
1.0067785717232913,1.0128521567535929
1.0036067519429503,1.0191692983668277
1.0030581539929797,1.018658937926041
1.0040559627695118,1.0287555334994503
1.0034490762754535,1.0141091725842148
1.0016489988608026,1.0122333104717245
1.0061415082273875,1.0168109401583059
1.0139095106187244,1.0455829700180512
1.0033772884350003,1.0122672696218247
1.0064467266429455,1.0149084200215712
1.0061276855070542,1.0112195606458647
1.0025896482671781,1.0247342109975106
1.003137177243949,1.0116017490270048
1.0042843674724216,1.0184956615546426
1.0031356097932584,1.009024583672704
1.005815432485293,1.0231917721959785
1.0302560373344194,1.023441104915233
1.0026563332640583,1.0147683570799382
1.0010522843606289,1.016150640767234
=======
S1,S2,S3
1.0407310300760975,1.0385629313087907,1.0164437349959419
1.0030430249680806,1.001966162539855,1.0010406884281673
1.002408594376377,1.0012363281638335,1.0023440826139556
1.0034529297503492,1.0061176701023822,1.0051830862077913
1.0025610628587263,1.0094938078715956,1.0060879879416826
1.0020097515700068,1.003131747388173,1.0034244875121903
1.0023785691557323,1.0030669110355857,1.0055422944509447
1.0005302844637138,1.0022312619101112,1.0009187281840313
1.0044775484446062,1.0023058112789056,1.0030631992891579
1.0015368429164926,1.0018511798149867,1.0037860003521972
1.0020323371051014,1.0095071184326345,1.0030498217491375
1.0023611564684156,1.003397286286832,1.004945759697129
1.000977723829275,1.001744938181268,1.0018848036600934
1.0022917655944354,1.0019216586353288,1.0027918650373093
1.0029021911527964,1.0024277690095373,1.0040465446597844
1.0049454748425883,1.003270489673962,1.0022347148134523
1.003078944410679,1.0044807213145652,1.002415263320526
1.0022842239710905,1.0015264118694736,1.0019488898062041
1.0034578199926767,1.004098825206013,1.007731957577982
1.0012489076204796,1.0039702278169291,1.0032894762312217
1.0028380141389062,1.003701493953367,1.0026928892374403
1.0032378355734257,1.0030576445471622,1.0018155195089016
1.0032725003924352,1.002125942470438,1.0036117580043087
1.0043926807885395,1.0019243354305076,1.0017092836138246
1.0019800183959524,1.0043752075612304,1.002466906210168
1.0019070387272049,1.0274052656819743,1.0028855146922278
1.003199281509553,1.0034633489055482,1.0013969834872838
1.002944682277183,1.0034974878089324,1.0044103934200144
>>>>>>> 796c2bd92af6ee9547478c96b16e02c8def6b5e1
